scenario,method,score
simple,spearman,0.8133333333333334
simple,permutation,0.7333333333333333
simple,shap,0.7333333333333333
correlated,spearman,0.6933333333333334
correlated,permutation,0.6
correlated,shap,0.6
noise,spearman,0.7466666666666667
noise,permutation,0.14666666666666667
noise,shap,0.14666666666666667
scales,spearman,0.7866666666666666
scales,permutation,0.7733333333333333
scales,shap,0.76
cardinality,spearman,0.7915407854984894
cardinality,permutation,0.5438066465256798
cardinality,shap,0.5438066465256798
